 Year,National,#grids
1950,    17.343,       354
1951,    21.876,       358
1952,    27.383,       359
1953,    27.512,       360
1954,    28.782,       360
1955,    25.074,       360
1956,    20.145,       360
1957,    23.789,       363
1958,    23.717,       361
1959,    26.229,       362
1960,    21.114,       362
1961,    18.068,       361
1962,    20.370,       364
1963,    20.324,       365
1964,    23.518,       362
1965,    18.325,       361
1966,    20.667,       364
1967,    15.822,       362
1968,    21.853,       361
1969,    22.683,       362
1970,    24.289,       364
1971,    19.439,       363
1972,    18.775,       360
1973,    22.521,       357
1974,    17.770,       359
1975,    20.569,       361
1976,    14.141,       359
1977,    25.847,       361
1978,    23.828,       359
1979,    19.964,       360
1980,    27.689,       358
1981,    23.873,       361
1982,    21.058,       364
1983,    25.828,       361
1984,    19.097,       361
1985,    21.150,       362
1986,    26.058,       360
1987,    24.819,       361
1988,    27.084,       360
1989,    22.792,       360
1990,    24.626,       358
1991,    28.650,       361
1992,    17.790,       362
1993,    25.121,       362
1994,    21.648,       359
1995,    27.137,       360
1996,    22.821,       361
1997,    22.689,       360
1998,    31.981,       357
1999,    26.302,       356
2000,    25.747,       354
2001,    27.210,       356
2002,    30.399,       358
2003,    26.267,       357
2004,    22.465,       356
2005,    28.335,       349
2006,    27.796,       356
2007,    27.943,       350
2008,    23.191,       343
2009,    22.911,       347
2010,    33.971,       350
2011,    31.628,       345
2012,    29.200,       342
2013,    26.737,       328
2014,    23.825,       327
2015,    29.546,       320
2016,    32.795,       323
2017,    26.604,       317
2018,    34.285,       307
