Year,National
1950,2.169
1951,2.005
1952,1.646
1953,1.667
1954,1.549
1955,1.66
1956,1.358
1957,2.095
1958,1.882
1959,1.872
1960,1.681
1961,2.165
1962,1.649
1963,1.579
1964,2.318
1965,1.784
1966,1.75
1967,1.874
1968,1.729
1969,2.4
1970,1.928
1971,1.572
1972,1.897
1973,2.56
1974,1.865
1975,1.967
1976,1.376
1977,2.006
1978,1.9
1979,2.501
1980,1.897
1981,1.69
1982,2.367
1983,2.691
1984,1.891
1985,1.954
1986,1.977
1987,1.862
1988,1.642
1989,1.983
1990,2.132
1991,2.28
1992,1.891
1993,2.092
1994,1.93
1995,2.538
1996,2.302
1997,2.084
1998,2.519
1999,1.742
2000,1.731
2001,2.155
2002,2.205
2003,2.053
2004,2.371
2005,2.11
2006,1.962
2007,1.842
2008,2.676
2009,2.633
2010,2.154
2011,2.132
2012,1.89
2013,2.409
2014,2.415
2015,2.434
2016,2.308
2017,2.637
2018,2.712
2019,2.459
2020,2.157
2021,2.288
