Year,National
1900,3.182
1901,8.791
1902,4.332
1903,1.778
1904,2.041
1905,2.93
1906,2.292
1907,2.997
1908,2.599
1909,4.076
1910,5.125
1911,7.124
1912,3.325
1913,8.663
1914,6.256
1915,2.593
1916,4.463
1917,5.24
1918,8.078
1919,3.592
1920,2.222
1921,4.111
1922,5.183
1923,2.864
1924,5.777
1925,8.34
1926,5.018
1927,3.515
1928,3.625
1929,4.639
1930,10.353
1931,8.131
1932,4.773
1933,7.826
1934,14.809
1935,5.698
1936,17.195
1937,6.903
1938,5.544
1939,7.788
1940,5.327
1941,3.421
1942,3.551
1943,6.862
1944,4.791
1945,3.472
1946,4.681
1947,6.502
1948,3.855
1949,2.385
1950,2.327
1951,4.982
1952,7.753
1953,7.031
1954,11.211
1955,4.636
1956,6.404
1957,3.695
1958,3.062
1959,3.162
1960,4.511
1961,3.071
1962,3.632
1963,4.305
1964,4.721
1965,1.883
1966,3.795
1967,2.972
1968,2.07
1969,4.658
1970,4.64
1971,3.366
1972,2.245
1973,2.639
1974,3.852
1975,1.826
1976,2.483
1977,3.912
1978,5.402
1979,2.508
1980,9.66
1981,3.264
1982,2.306
1983,5.309
1984,3.332
1985,3.934
1986,3.161
1987,2.918
1988,6.228
1989,2.504
1990,4.531
1991,2.398
1992,1.559
1993,2.426
1994,3.23
1995,3.616
1996,3.455
1997,1.835
1998,6.047
1999,3.652
2000,7.098
2001,4.219
2002,4.046
2003,5.021
2004,1.721
2005,3.28
2006,5.695
2007,3.775
2008,2.881
2009,3.623
2010,3.673
2011,8.341
2012,7.905
2013,3.165
2014,2.7
2015,3.148
2016,3.05
2017,3.236
2018,3.578
2019,3.279
2020,4.064
