Year,National
1950,29.83
1951,31.98
1952,26.583
1953,17.584
1954,19.372
1955,33.978
1956,26.08
1957,23.436
1958,28.568
1959,25.202
1960,35.355
1961,23.731
1962,29.557
1963,32.713
1964,25.725
1965,26.953
1966,30.17
1967,25.543
1968,28.652
1969,31.744
1970,29.469
1971,30.596
1972,31.485
1973,25.013
1974,24.307
1975,30.203
1976,26.167
1977,31.117
1978,42.066
1979,34.669
1980,29.006
1981,21.313
1982,31.441
1983,28.602
1984,25.935
1985,38.166
1986,22.655
1987,20.382
1988,28.125
1989,33.671
1990,19.443
1991,25.495
1992,22.226
1993,32.113
1994,27.598
1995,29.77
1996,33.993
1997,28.939
1998,19.989
1999,18.195
2000,29.696
2001,25.252
2002,23.117
2003,28.154
2004,24.875
2005,27.543
2006,17.79
2007,32.858
2008,31.124
2009,30.703
2010,32.746
2011,28.585
2012,18.119
2013,33.495
2014,35.859
2015,28.53
2016,24.248
2017,25.521
2018,30.558
2019,33.968
2020,21.305
