Year,National
1900,0.179
1901,0.144
1902,0.177
1903,0.134
1904,0.106
1905,0.171
1906,0.161
1907,0.145
1908,0.164
1909,0.152
1910,0.104
1911,0.14
1912,0.101
1913,0.153
1914,0.144
1915,0.185
1916,0.145
1917,0.055
1918,0.114
1919,0.122
1920,0.131
1921,0.106
1922,0.08
1923,0.097
1924,0.108
1925,0.105
1926,0.143
1927,0.128
1928,0.17
1929,0.189
1930,0.083
1931,0.09
1932,0.169
1933,0.137
1934,0.109
1935,0.138
1936,0.127
1937,0.13
1938,0.119
1939,0.079
1940,0.148
1941,0.14
1942,0.162
1943,0.16
1944,0.163
1945,0.191
1946,0.173
1947,0.133
1948,0.125
1949,0.147
1950,0.135
1951,0.133
1952,0.084
1953,0.148
1954,0.107
1955,0.153
1956,0.104
1957,0.191
1958,0.116
1959,0.152
1960,0.154
1961,0.214
1962,0.103
1963,0.091
1964,0.189
1965,0.13
1966,0.113
1967,0.129
1968,0.11
1969,0.16
1970,0.127
1971,0.126
1972,0.13
1973,0.26
1974,0.156
1975,0.141
1976,0.102
1977,0.143
1978,0.128
1979,0.258
1980,0.145
1981,0.141
1982,0.21
1983,0.171
1984,0.088
1985,0.156
1986,0.172
1987,0.121
1988,0.079
1989,0.145
1990,0.222
1991,0.177
1992,0.114
1993,0.179
1994,0.177
1995,0.201
1996,0.184
1997,0.154
1998,0.274
1999,0.161
2000,0.103
2001,0.171
2002,0.188
2003,0.163
2004,0.219
2005,0.174
2006,0.142
2007,0.166
2008,0.253
2009,0.176
2010,0.174
2011,0.192
2012,0.159
2013,0.176
2014,0.161
2015,0.245
2016,0.272
2017,0.277
2018,0.212
2019,0.184
2020,0.162
2021,0.206
