Year,National
1950,13.809
1951,14.772
1952,9.708
1953,5.42
1954,7.231
1955,13.396
1956,10.208
1957,10.303
1958,10.688
1959,11.223
1960,12.893
1961,10.358
1962,14.712
1963,18.043
1964,10.643
1965,11.5
1966,12.684
1967,10.255
1968,12.151
1969,10.64
1970,13.053
1971,12.245
1972,15.533
1973,9.397
1974,10.242
1975,10.945
1976,12.49
1977,14.851
1978,18.218
1979,18.076
1980,11.346
1981,7.876
1982,15.495
1983,10.658
1984,11.065
1985,17.329
1986,7.994
1987,5.864
1988,12.931
1989,16.316
1990,8.712
1991,8.994
1992,6.86
1993,11.993
1994,11.969
1995,8.685
1996,14.852
1997,9.458
1998,6.016
1999,5.816
2000,9.86
2001,7.323
2002,6.546
2003,9.683
2004,9.92
2005,9.179
2006,4.663
2007,10.602
2008,12.307
2009,11.365
2010,8.666
2011,10.578
2012,4.897
2013,10.815
2014,15.745
2015,11.232
2016,7.061
2017,7.745
2018,9.994
2019,12.367
2020,5.546
