Year,National
1950,2.501
1951,3.752
1952,5.042
1953,4.681
1954,5.323
1955,3.622
1956,3.083
1957,3.524
1958,3.996
1959,3.642
1960,3.507
1961,2.983
1962,3.249
1963,3.473
1964,3.944
1965,2.467
1966,4.026
1967,2.817
1968,2.873
1969,5.084
1970,4.285
1971,3.025
1972,3.114
1973,3.261
1974,3.044
1975,2.846
1976,2.381
1977,4.339
1978,4.183
1979,3.299
1980,6.661
1981,5.101
1982,3.396
1983,4.835
1984,3.446
1985,3.438
1986,4.364
1987,4.373
1988,5.404
1989,3.912
1990,4.789
1991,4.291
1992,3.479
1993,4.336
1994,3.789
1995,5.6
1996,4.588
1997,4.631
1998,7.663
1999,6.235
2000,5.343
2001,5.662
2002,5.266
2003,5.215
2004,4.195
2005,6.204
2006,6.197
2007,5.441
2008,4.715
2009,5.357
2010,9.327
2011,8.671
2012,6.908
2013,5.246
2014,4.768
2015,6.916
2016,7.801
2017,5.765
2018,5.75
2019,6.261
2020,6.156
