Year,National
1900,0.5
1901,0.446
1902,0.545
1903,0.465
1904,0.344
1905,0.483
1906,0.469
1907,0.392
1908,0.45
1909,0.45
1910,0.299
1911,0.424
1912,0.381
1913,0.442
1914,0.383
1915,0.582
1916,0.405
1917,0.216
1918,0.349
1919,0.461
1920,0.456
1921,0.353
1922,0.399
1923,0.349
1924,0.33
1925,0.298
1926,0.417
1927,0.391
1928,0.469
1929,0.484
1930,0.261
1931,0.311
1932,0.461
1933,0.416
1934,0.337
1935,0.409
1936,0.424
1937,0.434
1938,0.422
1939,0.249
1940,0.409
1941,0.475
1942,0.469
1943,0.416
1944,0.451
1945,0.528
1946,0.488
1947,0.417
1948,0.408
1949,0.419
1950,0.441
1951,0.404
1952,0.306
1953,0.429
1954,0.379
1955,0.471
1956,0.321
1957,0.555
1958,0.402
1959,0.471
1960,0.39
1961,0.579
1962,0.302
1963,0.305
1964,0.564
1965,0.374
1966,0.373
1967,0.392
1968,0.358
1969,0.509
1970,0.389
1971,0.374
1972,0.435
1973,0.659
1974,0.509
1975,0.445
1976,0.313
1977,0.434
1978,0.393
1979,0.615
1980,0.433
1981,0.397
1982,0.573
1983,0.51
1984,0.372
1985,0.466
1986,0.46
1987,0.38
1988,0.315
1989,0.468
1990,0.559
1991,0.578
1992,0.398
1993,0.479
1994,0.441
1995,0.607
1996,0.577
1997,0.488
1998,0.662
1999,0.472
2000,0.396
2001,0.5
2002,0.517
2003,0.497
2004,0.586
2005,0.446
2006,0.439
2007,0.437
2008,0.684
2009,0.556
2010,0.528
2011,0.483
2012,0.381
2013,0.55
2014,0.475
2015,0.671
2016,0.626
2017,0.648
2018,0.645
2019,0.54
2020,0.606
