Year,National
1900,3.117
1901,8.783
1902,4.298
1903,1.751
1904,2.026
1905,2.896
1906,2.251
1907,2.951
1908,2.567
1909,4.076
1910,5.082
1911,7.127
1912,3.326
1913,8.674
1914,6.27
1915,2.553
1916,4.434
1917,5.23
1918,8.069
1919,3.588
1920,2.222
1921,4.107
1922,5.177
1923,2.861
1924,5.766
1925,8.35
1926,5.033
1927,3.526
1928,3.629
1929,4.639
1930,10.384
1931,8.15
1932,4.765
1933,7.837
1934,14.814
1935,5.701
1936,17.235
1937,6.914
1938,5.559
1939,7.804
1940,5.34
1941,3.431
1942,3.544
1943,6.875
1944,4.775
1945,3.457
1946,4.659
1947,6.518
1948,3.851
1949,2.386
1950,2.299
1951,4.913
1952,7.75
1953,7.002
1954,11.217
1955,4.64
1956,6.39
1957,3.666
1958,3.031
1959,3.152
1960,4.511
1961,3.071
1962,3.633
1963,4.305
1964,4.721
1965,1.884
1966,3.795
1967,2.972
1968,2.07
1969,4.658
1970,4.64
1971,3.366
1972,2.245
1973,2.639
1974,3.851
1975,1.826
1976,2.483
1977,3.912
1978,5.404
1979,2.508
1980,9.66
1981,3.264
1982,2.306
1983,5.313
1984,3.332
1985,3.934
1986,3.161
1987,2.918
1988,6.225
1989,2.504
1990,4.531
1991,2.398
1992,1.559
1993,2.426
1994,3.23
1995,3.616
1996,3.455
1997,1.835
1998,6.047
1999,3.651
2000,7.098
2001,4.219
2002,4.046
2003,5.021
2004,1.721
2005,3.28
2006,5.695
2007,3.777
2008,2.881
2009,3.623
2010,3.673
2011,8.341
2012,7.906
2013,3.157
2014,2.7
2015,3.148
2016,3.05
2017,3.236
2018,3.578
2019,3.291
2020,4.173
2021,3.957
