Year,National
1950,13.334
1951,17.529
1952,21.774
1953,22.461
1954,23.432
1955,20.854
1956,16.255
1957,18.945
1958,18.858
1959,21.06
1960,16.674
1961,14.785
1962,15.967
1963,16.699
1964,19.205
1965,14.409
1966,17.192
1967,12.88
1968,17.621
1969,18.626
1970,19.581
1971,15.819
1972,15.367
1973,18.063
1974,14.769
1975,17.074
1976,11.639
1977,21.083
1978,19.341
1979,16.028
1980,22.919
1981,18.948
1982,17.079
1983,21.285
1984,15.65
1985,16.988
1986,20.54
1987,20.208
1988,21.755
1989,18.342
1990,20.375
1991,23.074
1992,14.32
1993,20.126
1994,18.019
1995,21.943
1996,18.265
1997,18.347
1998,25.165
1999,21.585
2000,20.703
2001,22.328
2002,25.111
2003,21.8
2004,17.693
2005,23.228
2006,23.256
2007,22.857
2008,18.914
2009,18.736
2010,27.913
2011,26.432
2012,24.649
2013,22.125
2014,19.204
2015,23.704
2016,26.7
2017,21.0
2018,25.345
2019,22.699
2020,23.136
