Year,National
1950,5.056
1951,6.792
1952,9.582
1953,8.952
1954,12.955
1955,6.752
1956,7.931
1957,5.788
1958,6.003
1959,6.024
1960,7.582
1961,5.725
1962,5.508
1963,5.654
1964,6.141
1965,3.447
1966,6.083
1967,4.477
1968,4.256
1969,6.17
1970,6.44
1971,5.503
1972,4.46
1973,5.529
1974,6.275
1975,4.524
1976,4.323
1977,5.966
1978,7.341
1979,5.06
1980,11.839
1981,6.273
1982,3.541
1983,7.536
1984,5.362
1985,6.163
1986,5.273
1987,5.305
1988,8.304
1989,5.435
1990,6.651
1991,4.982
1992,3.968
1993,4.265
1994,6.361
1995,6.146
1996,6.164
1997,4.935
1998,7.021
1999,5.252
2000,8.883
2001,7.19
2002,7.35
2003,8.35
2004,4.445
2005,6.079
2006,7.49
2007,6.718
2008,5.198
2009,5.633
2010,6.074
2011,8.401
2012,10.153
2013,5.67
2014,4.924
2015,5.536
2016,5.453
2017,5.341
2018,5.419
2019,4.527
2020,6.45
2021,6.502
