Year,national
1895,57.19
1896,58.99
1897,57.93
1898,58.98
1899,58.11
1900,59.02
1901,59.4
1902,57.43
1903,57.06
1904,56.98
1905,58.13
1906,57.95
1907,56.98
1908,57.47
1909,58.72
1910,57.66
1911,58.19
1912,57.17
1913,58.35
1914,58.76
1915,56.52
1916,57.92
1917,57.3
1918,58.63
1919,58.74
1920,57.33
1921,59.48
1922,58.79
1923,58.35
1924,57.3
1925,58.55
1926,58.01
1927,57.01
1928,57.76
1929,57.74
1930,58.29
1931,59.32
1932,58.82
1933,59.18
1934,59.73
1935,58.85
1936,60.06
1937,59.5
1938,59.01
1939,58.72
1940,58.64
1941,58.73
1942,58.37
1943,59.07
1944,57.81
1945,57.43
1946,57.9
1947,58.19
1948,58.24
1949,58.8
1950,56.67
1951,57.77
1952,59.09
1953,58.82
1954,58.82
1955,58.61
1956,58.25
1957,58.64
1958,58.46
1959,59.12
1960,58.37
1961,58.65
1962,57.51
1963,58.44
1964,58.16
1965,57.56
1966,58.18
1967,57.7
1968,58.02
1969,58.5
1970,58.84
1971,58.24
1972,57.89
1973,58.62
1974,57.69
1975,58.29
1976,57.32
1977,59.33
1978,58.41
1979,57.91
1980,59.05
1981,59.32
1982,58.15
1983,59.22
1984,58.91
1985,57.96
1986,59.14
1987,59.02
1988,59.51
1989,58.69
1990,59.21
1991,59.41
1992,57.27
1993,58.32
1994,59.3
1995,59.14
1996,59.23
1997,58.68
1998,59.96
1999,59.29
2000,59.33
2001,59.82
2002,60.14
2003,59.89
2004,58.02
2005,59.83
2006,60.43
2007,60.2
2008,59.09
2009,58.53
2010,60.69
2011,60.65
2012,60.21
2013,60.12
2014,59.47
2015,60.34
2016,60.79
2017,60.01
2018,60.88
2019,59.83
2020,60.65
2021,61.47
