Year,National
1900,3.209
1901,3.966
1902,3.694
1903,2.064
1904,1.134
1905,2.877
1906,2.108
1907,2.619
1908,1.747
1909,3.765
1910,2.644
1911,3.589
1912,3.241
1913,2.941
1914,3.543
1915,2.979
1916,3.501
1917,2.931
1918,3.238
1919,2.476
1920,1.679
1921,3.009
1922,2.654
1923,2.898
1924,4.052
1925,4.323
1926,2.944
1927,2.553
1928,2.909
1929,2.369
1930,5.308
1931,5.009
1932,4.61
1933,4.335
1934,8.379
1935,4.404
1936,8.18
1937,4.062
1938,2.888
1939,3.508
1940,3.096
1941,3.726
1942,3.029
1943,4.604
1944,3.394
1945,3.17
1946,2.76
1947,3.157
1948,2.979
1949,2.856
1950,1.487
1951,3.996
1952,4.862
1953,4.039
1954,4.981
1955,3.06
1956,2.779
1957,3.016
1958,2.84
1959,1.965
1960,2.066
1961,1.275
1962,2.456
1963,3.019
1964,3.424
1965,1.599
1966,2.955
1967,1.739
1968,1.919
1969,4.236
1970,3.364
1971,1.703
1972,1.842
1973,1.902
1974,1.712
1975,1.672
1976,0.955
1977,3.693
1978,3.799
1979,2.289
1980,7.121
1981,3.874
1982,2.679
1983,3.6
1984,1.989
1985,2.351
1986,3.415
1987,3.286
1988,4.246
1989,2.693
1990,3.46
1991,2.77
1992,2.014
1993,4.236
1994,2.384
1995,4.689
1996,3.188
1997,3.259
1998,7.588
1999,5.167
2000,4.603
2001,4.557
2002,3.869
2003,3.538
2004,2.718
2005,4.633
2006,5.102
2007,4.006
2008,3.725
2009,4.591
2010,8.991
2011,9.303
2012,5.731
2013,3.666
2014,3.623
2015,5.141
2016,6.786
2017,4.612
2018,5.542
2019,6.061
2020,5.607
