Year,National
1900,10.657
1901,11.545
1902,10.192
1903,11.535
1904,14.055
1905,13.912
1906,9.015
1907,9.658
1908,6.869
1909,11.926
1910,9.872
1911,9.422
1912,16.296
1913,11.452
1914,13.308
1915,6.952
1916,16.939
1917,18.105
1918,13.759
1919,11.677
1920,10.09
1921,5.402
1922,12.165
1923,9.118
1924,15.1
1925,8.926
1926,7.866
1927,10.189
1928,6.53
1929,15.253
1930,11.188
1931,3.478
1932,11.403
1933,9.343
1934,7.926
1935,9.179
1936,17.818
1937,13.494
1938,7.151
1939,7.757
1940,12.462
1941,5.739
1942,9.884
1943,12.211
1944,7.767
1945,10.015
1946,7.293
1947,8.564
1948,13.823
1949,12.326
1950,14.086
1951,14.068
1952,7.534
1953,4.83
1954,6.299
1955,12.603
1956,9.027
1957,9.255
1958,10.414
1959,10.462
1960,11.993
1961,9.245
1962,13.911
1963,17.691
1964,8.837
1965,10.801
1966,11.917
1967,9.544
1968,10.899
1969,9.737
1970,12.393
1971,10.99
1972,14.742
1973,7.865
1974,9.105
1975,9.255
1976,11.593
1977,15.07
1978,17.778
1979,16.943
1980,10.689
1981,7.999
1982,14.163
1983,9.652
1984,9.604
1985,16.52
1986,7.265
1987,3.766
1988,11.608
1989,15.522
1990,6.822
1991,7.451
1992,4.744
1993,10.078
1994,11.179
1995,8.023
1996,14.452
1997,8.456
1998,4.993
1999,5.194
2000,8.99
2001,5.978
2002,4.697
2003,9.235
2004,8.815
2005,7.871
2006,3.089
2007,9.347
2008,11.638
2009,10.637
2010,7.914
2011,9.085
2012,3.848
2013,9.818
2014,15.556
2015,11.221
2016,6.114
2017,7.107
2018,9.623
2019,11.369
2020,4.83
2021,7.17
