Year,national
1895,6.87
1896,7.96
1897,8.16
1898,7.67
1899,7.34
1900,8.16
1901,7.5
1902,7.76
1903,8.02
1904,7.81
1905,9.48
1906,8.49
1907,8.22
1908,9.0
1909,7.53
1910,5.67
1911,6.53
1912,9.63
1913,7.56
1914,7.06
1915,7.72
1916,7.11
1917,7.79
1918,7.26
1919,8.33
1920,8.87
1921,7.87
1922,9.64
1923,8.39
1924,6.91
1925,5.58
1926,6.71
1927,8.61
1928,7.65
1929,9.26
1930,6.98
1931,6.69
1932,6.88
1933,8.41
1934,5.93
1935,9.18
1936,6.37
1937,7.17
1938,9.22
1939,6.44
1940,7.53
1941,7.77
1942,8.46
1943,8.4
1944,9.33
1945,9.03
1946,8.08
1947,8.48
1948,8.32
1949,7.55
1950,7.45
1951,7.32
1952,8.03
1953,8.83
1954,7.26
1955,7.39
1956,6.49
1957,10.4
1958,8.18
1959,7.49
1960,7.15
1961,8.34
1962,6.94
1963,7.13
1964,8.36
1965,7.4
1966,6.34
1967,7.55
1968,7.95
1969,7.15
1970,8.07
1971,6.86
1972,7.35
1973,10.37
1974,8.26
1975,9.36
1976,7.79
1977,8.04
1978,8.44
1979,9.11
1980,8.87
1981,7.95
1982,8.45
1983,10.38
1984,8.86
1985,6.99
1986,7.17
1987,7.38
1988,6.44
1989,7.97
1990,9.03
1991,10.41
1992,6.86
1993,8.71
1994,7.62
1995,9.92
1996,8.12
1997,8.22
1998,8.41
1999,7.97
2000,7.43
2001,7.46
2002,7.49
2003,8.38
2004,7.86
2005,7.69
2006,7.13
2007,7.55
2008,8.06
2009,8.84
2010,8.0
2011,9.75
2012,7.6
2013,7.96
2014,8.07
2015,9.4
2016,9.0
2017,9.45
2018,7.96
2019,9.92
2020,8.47
2021,7.59
