Year,national
1895,51.86
1896,51.06
1897,54.13
1898,51.78
1899,54.56
1900,54.35
1901,53.46
1902,53.62
1903,52.29
1904,54.0
1905,53.28
1906,53.08
1907,52.94
1908,53.29
1909,54.1
1910,54.14
1911,52.02
1912,52.7
1913,53.46
1914,54.4
1915,54.29
1916,51.96
1917,52.67
1918,52.87
1919,52.52
1920,53.26
1921,54.82
1922,54.72
1923,52.96
1924,53.37
1925,52.0
1926,53.17
1927,55.07
1928,53.29
1929,51.92
1930,52.85
1931,56.03
1932,52.59
1933,55.14
1934,55.12
1935,52.7
1936,53.23
1937,53.46
1938,54.32
1939,54.79
1940,53.48
1941,54.21
1942,53.79
1943,52.97
1944,54.01
1945,53.71
1946,53.16
1947,54.49
1948,53.62
1949,54.34
1950,53.86
1951,52.06
1952,52.93
1953,55.42
1954,55.06
1955,53.05
1956,53.85
1957,52.05
1958,54.39
1959,52.25
1960,54.65
1961,52.59
1962,54.49
1963,56.57
1964,53.28
1965,53.81
1966,53.53
1967,53.17
1968,53.23
1969,52.73
1970,52.72
1971,53.67
1972,51.88
1973,54.47
1974,52.85
1975,53.38
1976,50.89
1977,54.26
1978,53.9
1979,53.76
1980,53.71
1981,53.98
1982,52.82
1983,54.54
1984,52.77
1985,52.19
1986,53.04
1987,54.05
1988,53.95
1989,53.78
1990,55.42
1991,53.03
1992,53.08
1993,51.84
1994,54.11
1995,53.72
1996,52.25
1997,53.73
1998,56.34
1999,55.73
2000,52.9
2001,55.82
2002,53.55
2003,54.62
2004,55.01
2005,55.92
2006,53.32
2007,55.7
2008,54.37
2009,54.24
2010,54.99
2011,54.98
2012,54.74
2013,54.0
2014,54.12
2015,56.78
2016,57.6
2017,55.66
2018,53.76
2019,53.87
2020,55.51
2021,56.61
