Year,National
1950,13.439
1951,17.581
1952,21.831
1953,22.528
1954,23.511
1955,20.946
1956,16.273
1957,18.942
1958,18.882
1959,21.116
1960,16.715
1961,14.522
1962,15.686
1963,16.423
1964,18.945
1965,14.162
1966,16.89
1967,12.596
1968,17.373
1969,18.326
1970,19.337
1971,15.607
1972,15.128
1973,17.828
1974,14.511
1975,16.819
1976,11.327
1977,20.85
1978,19.082
1979,15.756
1980,22.702
1981,18.675
1982,16.827
1983,21.057
1984,15.384
1985,16.742
1986,20.317
1987,19.994
1988,21.607
1989,18.114
1990,20.175
1991,22.923
1992,14.062
1993,19.947
1994,17.803
1995,21.79
1996,18.116
1997,18.131
1998,25.038
1999,21.404
2000,20.526
2001,22.101
2002,24.937
2003,21.576
2004,17.473
2005,23.042
2006,23.055
2007,22.651
2008,18.692
2009,18.518
2010,27.758
2011,26.256
2012,24.417
2013,21.898
2014,18.954
2015,23.502
2016,26.504
2017,20.776
2018,25.037
2019,21.02
2020,21.978
2021,20.868
