Year,national
1895,39.27
1896,39.51
1897,41.6
1898,39.71
1899,42.22
1900,42.97
1901,41.07
1902,41.66
1903,39.73
1904,41.18
1905,41.2
1906,41.32
1907,40.78
1908,40.45
1909,41.55
1910,41.74
1911,40.33
1912,40.53
1913,41.84
1914,41.98
1915,41.87
1916,39.08
1917,39.55
1918,41.28
1919,41.13
1920,41.5
1921,42.02
1922,42.02
1923,41.3
1924,40.46
1925,40.65
1926,41.5
1927,42.84
1928,41.21
1929,39.99
1930,40.83
1931,43.8
1932,39.92
1933,42.31
1934,42.73
1935,40.46
1936,40.67
1937,41.26
1938,41.35
1939,41.56
1940,41.4
1941,42.61
1942,41.26
1943,39.86
1944,41.82
1945,41.31
1946,41.41
1947,42.59
1948,40.85
1949,41.53
1950,41.44
1951,39.99
1952,39.02
1953,41.74
1954,42.33
1955,40.11
1956,40.52
1957,40.95
1958,41.98
1959,40.29
1960,42.26
1961,40.7
1962,42.47
1963,43.8
1964,40.54
1965,41.77
1966,41.09
1967,40.77
1968,41.26
1969,40.96
1970,41.06
1971,42.2
1972,41.28
1973,42.87
1974,40.63
1975,40.93
1976,38.27
1977,42.57
1978,41.66
1979,41.19
1980,41.3
1981,41.99
1982,41.44
1983,43.02
1984,41.36
1985,41.36
1986,42.24
1987,41.31
1988,41.69
1989,41.14
1990,42.69
1991,41.03
1992,41.41
1993,39.68
1994,42.4
1995,41.29
1996,40.84
1997,42.13
1998,44.8
1999,42.15
2000,41.08
2001,43.19
2002,42.12
2003,42.49
2004,43.86
2005,43.47
2006,41.3
2007,43.31
2008,42.17
2009,42.7
2010,42.3
2011,42.51
2012,42.13
2013,42.35
2014,42.28
2015,45.04
2016,45.6
2017,43.54
2018,42.89
2019,42.03
2020,42.98
2021,44.4
