Year,National
1950,2.158
1951,2.001
1952,1.638
1953,1.66
1954,1.546
1955,1.654
1956,1.354
1957,2.08
1958,1.882
1959,1.865
1960,1.671
1961,2.139
1962,1.637
1963,1.571
1964,2.304
1965,1.779
1966,1.742
1967,1.869
1968,1.728
1969,2.393
1970,1.923
1971,1.568
1972,1.887
1973,2.554
1974,1.853
1975,1.951
1976,1.372
1977,1.995
1978,1.888
1979,2.492
1980,1.891
1981,1.679
1982,2.358
1983,2.682
1984,1.881
1985,1.941
1986,1.964
1987,1.855
1988,1.636
1989,1.972
1990,2.119
1991,2.278
1992,1.888
1993,2.088
1994,1.927
1995,2.524
1996,2.296
1997,2.073
1998,2.509
1999,1.731
2000,1.721
2001,2.139
2002,2.186
2003,2.043
2004,2.359
2005,2.093
2006,1.942
2007,1.833
2008,2.652
2009,2.613
2010,2.14
2011,2.101
2012,1.869
2013,2.394
2014,2.406
2015,2.421
2016,2.3
2017,2.622
2018,2.703
2019,2.475
2020,2.17
