Year,National
1900,3.222
1901,3.981
1902,3.705
1903,2.068
1904,1.137
1905,2.885
1906,2.116
1907,2.622
1908,1.752
1909,3.775
1910,2.645
1911,3.599
1912,3.248
1913,2.951
1914,3.554
1915,2.987
1916,3.509
1917,2.933
1918,3.247
1919,2.483
1920,1.679
1921,3.018
1922,2.664
1923,2.903
1924,4.064
1925,4.336
1926,2.952
1927,2.56
1928,2.92
1929,2.377
1930,5.326
1931,5.021
1932,4.618
1933,4.343
1934,8.393
1935,4.412
1936,8.199
1937,4.072
1938,2.896
1939,3.516
1940,3.098
1941,3.735
1942,3.035
1943,4.613
1944,3.401
1945,3.172
1946,2.768
1947,3.164
1948,2.986
1949,2.863
1950,1.488
1951,4.006
1952,4.867
1953,4.046
1954,4.994
1955,3.068
1956,2.781
1957,3.024
1958,2.843
1959,1.969
1960,2.066
1961,1.275
1962,2.457
1963,3.02
1964,3.424
1965,1.601
1966,2.959
1967,1.739
1968,1.918
1969,4.239
1970,3.364
1971,1.703
1972,1.842
1973,1.903
1974,1.712
1975,1.672
1976,0.955
1977,3.696
1978,3.8
1979,2.29
1980,7.13
1981,3.877
1982,2.679
1983,3.606
1984,1.989
1985,2.351
1986,3.415
1987,3.287
1988,4.248
1989,2.694
1990,3.46
1991,2.773
1992,2.016
1993,4.237
1994,2.386
1995,4.698
1996,3.193
1997,3.262
1998,7.588
1999,5.168
2000,4.602
2001,4.556
2002,3.872
2003,3.539
2004,2.717
2005,4.632
2006,5.103
2007,4.006
2008,3.726
2009,4.59
2010,8.993
2011,9.303
2012,5.735
2013,3.663
2014,3.624
2015,5.145
2016,6.786
2017,4.612
2018,5.542
2019,5.926
2020,5.494
2021,5.079
