Year,National
1900,2.018
1901,1.813
1902,2.131
1903,1.824
1904,1.464
1905,2.012
1906,1.959
1907,1.667
1908,1.695
1909,1.834
1910,1.297
1911,1.525
1912,1.669
1913,1.701
1914,1.522
1915,2.056
1916,1.524
1917,1.107
1918,1.469
1919,1.967
1920,1.8
1921,1.544
1922,1.611
1923,1.542
1924,1.384
1925,1.301
1926,1.785
1927,1.719
1928,1.704
1929,1.784
1930,1.19
1931,1.336
1932,1.765
1933,1.544
1934,1.365
1935,1.611
1936,1.568
1937,1.65
1938,1.675
1939,1.229
1940,1.52
1941,1.77
1942,1.788
1943,1.444
1944,1.742
1945,1.939
1946,1.858
1947,1.499
1948,1.655
1949,1.645
1950,1.805
1951,1.557
1952,1.319
1953,1.527
1954,1.296
1955,1.556
1956,1.18
1957,1.857
1958,1.516
1959,1.619
1960,1.375
1961,1.856
1962,1.359
1963,1.228
1964,1.968
1965,1.481
1966,1.438
1967,1.529
1968,1.645
1969,1.853
1970,1.54
1971,1.48
1972,1.757
1973,2.166
1974,1.735
1975,1.747
1976,1.217
1977,1.638
1978,1.532
1979,2.191
1980,1.534
1981,1.537
1982,1.943
1983,2.007
1984,1.632
1985,1.846
1986,1.796
1987,1.589
1988,1.325
1989,1.825
1990,1.968
1991,2.005
1992,1.599
1993,1.761
1994,1.764
1995,2.083
1996,1.954
1997,1.801
1998,2.241
1999,1.658
2000,1.581
2001,1.819
2002,1.912
2003,1.743
2004,2.128
2005,1.668
2006,1.768
2007,1.704
2008,2.112
2009,2.13
2010,1.957
2011,1.86
2012,1.468
2013,2.067
2014,1.883
2015,2.434
2016,2.046
2017,2.112
2018,2.407
2019,2.055
2020,2.091
