Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,0.184,5.613,0.356,0.079,0.019,5.192,9.637,0.0,7.375,
1951,0.194,10.176,0.506,0.066,0.018,6.167,21.538,0.0,14.125,
1952,1.076,12.357,2.338,0.41,0.058,5.713,20.912,0.0,3.0,
1953,0.674,9.233,2.219,0.588,0.011,6.068,22.014,0.0,5.0,
1954,0.205,11.149,2.572,0.455,0.011,6.023,24.247,0.0,10.125,
1955,1.441,5.392,2.372,1.228,0.033,5.464,14.206,0.0,0.125,
1956,0.241,4.902,0.927,0.166,0.033,6.164,18.835,0.0,6.625,
1957,0.32,7.307,0.797,0.344,0.0,5.742,18.397,0.0,11.0,
1958,0.177,9.323,0.327,0.078,0.055,8.073,17.799,0.0,10.0,
1959,0.967,7.368,0.976,0.276,0.098,7.659,12.224,0.0,19.625,
1960,0.126,7.183,0.362,0.158,0.057,7.739,12.417,0.0,18.125,
1961,0.397,5.638,0.391,0.086,0.126,6.681,8.308,0.0,14.5,
1962,0.102,7.725,0.273,0.006,0.046,5.589,14.244,0.0,10.0,
1963,0.296,7.768,0.591,0.366,0.014,5.244,18.066,0.0,21.875,
1964,0.22,7.989,1.217,0.584,0.006,5.34,21.034,0.0,8.5,
1965,0.174,6.07,0.38,0.033,0.032,4.247,11.891,0.0,13.125,
1966,0.511,7.83,1.189,0.509,0.006,6.197,15.293,0.0,19.5,
1967,0.139,5.733,0.119,0.015,0.029,6.673,12.05,0.0,20.125,
1968,0.985,7.003,1.25,0.308,0.088,4.589,11.311,0.0,23.0,
1969,0.665,12.117,1.214,0.348,0.023,6.945,21.059,0.0,28.625,
1970,0.296,9.876,1.106,0.42,0.062,6.936,18.396,0.0,36.875,
1971,0.273,6.215,0.423,0.135,0.112,6.781,10.23,0.0,23.5,
1972,0.628,6.914,0.505,0.074,0.037,5.832,9.184,0.0,27.75,
1973,0.744,8.445,0.407,0.209,0.031,5.498,9.26,0.0,17.0,
1974,0.232,5.643,0.653,0.454,0.034,6.193,9.495,0.0,31.75,
1975,0.316,7.105,0.403,0.385,0.191,5.061,8.822,0.0,11.5,
1976,0.107,4.705,0.499,0.404,0.006,4.743,5.247,0.0,24.0,
1977,0.817,11.042,1.627,0.525,0.135,6.656,17.715,0.0,31.25,
1978,0.59,10.755,0.945,0.231,0.02,6.399,20.684,0.0,19.375,
1979,0.544,9.73,0.354,0.071,0.034,4.879,10.17,0.0,26.625,
1980,0.851,17.272,3.261,0.55,0.004,6.248,29.341,0.0,28.0,
1981,0.606,13.749,1.137,0.302,0.043,7.694,17.232,0.0,26.0,
1982,0.372,8.631,0.696,0.257,0.058,5.357,16.293,0.0,33.375,
1983,0.839,11.133,2.28,0.63,0.029,5.908,14.364,0.0,22.0,
1984,0.502,6.509,0.664,0.156,0.042,7.099,12.53,0.0,35.625,
1985,0.643,8.25,0.488,0.076,0.095,5.815,13.751,0.0,21.25,
1986,0.576,11.532,1.307,0.25,0.028,5.838,17.858,0.0,36.0,
