Year,national
1895,16.07
1896,22.14
1897,22.5
1898,21.82
1899,17.54
1900,21.69
1901,21.64
1902,20.43
1903,20.03
1904,18.45
1905,18.5
1906,21.98
1907,23.5
1908,22.97
1909,23.15
1910,17.91
1911,22.52
1912,19.01
1913,20.22
1914,22.3
1915,20.91
1916,21.0
1917,17.97
1918,17.91
1919,22.84
1920,20.29
1921,24.43
1922,20.75
1923,22.01
1924,21.83
1925,20.86
1926,23.24
1927,23.53
1928,20.79
1929,18.03
1930,21.72
1931,23.7
1932,24.59
1933,20.31
1934,24.15
1935,22.94
1936,17.56
1937,20.12
1938,23.81
1939,22.05
1940,21.66
1941,24.25
1942,21.98
1943,21.75
1944,22.46
1945,21.99
1946,20.9
1947,22.19
1948,20.16
1949,19.85
1950,22.03
1951,21.53
1952,22.51
1953,24.9
1954,24.17
1955,20.84
1956,21.27
1957,23.27
1958,23.19
1959,20.48
1960,22.27
1961,21.55
1962,20.61
1963,19.26
1964,19.29
1965,21.5
1966,21.0
1967,21.97
1968,21.0
1969,20.98
1970,21.4
1971,21.44
1972,21.86
1973,21.12
1974,22.58
1975,22.78
1976,23.31
1977,18.27
1978,19.45
1979,16.54
1980,23.07
1981,23.4
1982,20.28
1983,25.9
1984,20.41
1985,20.31
1986,22.42
1987,24.57
1988,21.47
1989,21.43
1990,22.56
1991,22.54
1992,26.4
1993,21.66
1994,21.33
1995,25.57
1996,22.14
1997,23.44
1998,26.76
1999,25.5
2000,25.48
2001,21.06
2002,24.76
2003,23.34
2004,22.94
2005,25.44
2006,24.63
2007,23.12
2008,22.23
2009,22.0
2010,21.39
2011,21.34
2012,25.65
2013,23.99
2014,20.2
2015,24.26
2016,26.67
2017,25.97
2018,23.12
2019,23.71
2020,26.03
2021,23.5
