Year,National
1950,12.441
1951,19.183
1952,26.418
1953,25.946
1954,31.175
1955,21.87
1956,22.323
1957,16.563
1958,16.109
1959,17.044
1960,20.441
1961,15.048
1962,17.335
1963,18.444
1964,18.588
1965,11.566
1966,16.97
1967,12.254
1968,13.824
1969,17.249
1970,18.305
1971,15.303
1972,14.301
1973,14.489
1974,16.153
1975,13.1
1976,13.687
1977,19.181
1978,19.646
1979,13.45
1980,27.106
1981,17.443
1982,11.765
1983,21.936
1984,15.813
1985,15.977
1986,15.308
1987,16.969
1988,23.416
1989,14.254
1990,19.254
1991,15.371
1992,10.212
1993,13.824
1994,14.804
1995,17.649
1996,14.646
1997,14.136
1998,20.419
1999,16.464
2000,22.515
2001,18.275
2002,19.729
2003,18.826
2004,11.939
2005,17.303
2006,20.289
2007,18.681
2008,14.104
2009,14.153
2010,18.743
2011,23.508
2012,25.332
2013,14.981
2014,12.811
2015,16.515
2016,16.761
2017,14.138
2018,16.113
2019,14.472
2020,17.185
2021,16.714
