Year,national
1895,83.2
1896,84.85
1897,83.9
1898,84.54
1899,84.15
1900,85.14
1901,85.8
1902,83.49
1903,82.09
1904,82.52
1905,83.41
1906,83.03
1907,82.3
1908,83.02
1909,84.23
1910,84.64
1911,84.65
1912,82.18
1913,84.67
1914,84.62
1915,81.6
1916,83.64
1917,84.39
1918,85.37
1919,85.16
1920,83.1
1921,85.17
1922,85.14
1923,83.54
1924,84.34
1925,84.99
1926,84.55
1927,82.46
1928,82.95
1929,84.67
1930,85.88
1931,86.29
1932,85.07
1933,86.51
1934,87.27
1935,84.95
1936,87.88
1937,85.81
1938,85.13
1939,85.48
1940,85.23
1941,83.8
1942,84.02
1943,85.22
1944,84.33
1945,83.17
1946,84.27
1947,84.17
1948,84.43
1949,84.88
1950,82.74
1951,83.67
1952,85.98
1953,85.45
1954,85.46
1955,84.6
1956,85.11
1957,84.4
1958,84.05
1959,85.33
1960,85.03
1961,84.92
1962,83.85
1963,84.34
1964,84.04
1965,82.73
1966,84.36
1967,83.11
1968,83.25
1969,84.23
1970,85.17
1971,84.27
1972,83.44
1973,84.55
1974,84.19
1975,83.39
1976,83.55
1977,84.98
1978,84.57
1979,83.33
1980,85.76
1981,84.55
1982,82.89
1983,84.83
1984,84.32
1985,84.12
1986,84.57
1987,84.54
1988,86.66
1989,83.71
1990,84.6
1991,84.51
1992,81.68
1993,82.48
1994,85.16
1995,84.44
1996,84.68
1997,83.44
1998,85.09
1999,84.35
2000,85.24
2001,85.48
2002,86.21
2003,85.51
2004,82.7
2005,85.28
2006,86.56
2007,85.91
2008,84.84
2009,83.47
2010,85.43
2011,86.62
2012,87.13
2013,84.9
2014,83.91
2015,85.1
2016,86.18
2017,85.33
2018,86.07
2019,84.86
2020,86.41
2021,86.48
