Year,National
1900,10.625
1901,11.51
1902,10.169
1903,11.507
1904,14.018
1905,13.878
1906,8.989
1907,9.632
1908,6.851
1909,11.894
1910,9.849
1911,9.4
1912,16.258
1913,11.434
1914,13.279
1915,6.937
1916,16.9
1917,18.062
1918,13.728
1919,11.644
1920,10.068
1921,5.388
1922,12.137
1923,9.095
1924,15.066
1925,8.905
1926,7.847
1927,10.165
1928,6.514
1929,15.221
1930,11.163
1931,3.469
1932,11.375
1933,9.319
1934,7.908
1935,9.158
1936,17.772
1937,13.46
1938,7.133
1939,7.737
1940,12.432
1941,5.724
1942,9.861
1943,12.185
1944,7.749
1945,9.992
1946,7.275
1947,8.542
1948,13.791
1949,12.298
1950,14.055
1951,14.036
1952,7.514
1953,4.819
1954,6.282
1955,12.571
1956,9.005
1957,9.232
1958,10.391
1959,10.436
1960,11.995
1961,9.254
1962,13.915
1963,17.703
1964,8.837
1965,10.803
1966,11.919
1967,9.546
1968,10.899
1969,9.74
1970,12.397
1971,10.994
1972,14.746
1973,7.867
1974,9.11
1975,9.257
1976,11.594
1977,15.078
1978,17.786
1979,16.954
1980,10.694
1981,8.006
1982,14.165
1983,9.654
1984,9.605
1985,16.529
1986,7.265
1987,3.77
1988,11.613
1989,15.525
1990,6.823
1991,7.452
1992,4.746
1993,10.079
1994,11.181
1995,8.026
1996,14.457
1997,8.46
1998,4.994
1999,5.197
2000,9.003
2001,5.979
2002,4.697
2003,9.24
2004,8.817
2005,7.873
2006,3.089
2007,9.355
2008,11.642
2009,10.638
2010,7.917
2011,9.087
2012,3.848
2013,9.84
2014,15.571
2015,11.231
2016,6.114
2017,7.107
2018,9.623
2019,11.213
2020,4.644
