Year,National
1950,1.272
1951,1.243
1952,0.374
1953,0.072
1954,0.725
1955,0.485
1956,0.387
1957,0.622
1958,0.176
1959,0.486
1960,0.182
1961,0.23
1962,1.091
1963,1.489
1964,0.313
1965,0.59
1966,0.899
1967,0.292
1968,0.934
1969,0.924
1970,1.047
1971,0.844
1972,1.599
1973,0.443
1974,0.493
1975,0.309
1976,0.515
1977,1.016
1978,0.712
1979,1.311
1980,0.515
1981,0.225
1982,1.317
1983,1.887
1984,0.568
1985,1.137
1986,0.212
1987,0.087
1988,0.594
1989,1.799
1990,1.113
1991,0.207
1992,0.353
1993,0.435
1994,1.325
1995,0.272
1996,1.96
1997,0.737
1998,0.428
1999,0.274
2000,0.43
2001,0.049
2002,0.042
2003,0.267
2004,0.812
2005,0.532
2006,0.146
2007,0.332
2008,0.829
2009,0.636
2010,0.349
2011,0.398
2012,0.123
2013,0.687
2014,1.016
2015,0.279
2016,0.389
2017,0.656
2018,0.527
2019,1.057
2020,0.188
