Year,National
1900,0.236
1901,0.177
1902,0.208
1903,0.214
1904,0.081
1905,0.133
1906,0.14
1907,0.156
1908,0.086
1909,0.227
1910,0.206
1911,0.147
1912,0.123
1913,0.183
1914,0.176
1915,0.102
1916,0.138
1917,0.173
1918,0.244
1919,0.062
1920,0.086
1921,0.207
1922,0.121
1923,0.135
1924,0.116
1925,0.23
1926,0.104
1927,0.062
1928,0.084
1929,0.094
1930,0.329
1931,0.202
1932,0.157
1933,0.212
1934,0.953
1935,0.136
1936,0.858
1937,0.164
1938,0.075
1939,0.124
1940,0.12
1941,0.092
1942,0.098
1943,0.153
1944,0.171
1945,0.123
1946,0.089
1947,0.106
1948,0.098
1949,0.054
1950,0.041
1951,0.145
1952,0.205
1953,0.139
1954,0.292
1955,0.077
1956,0.057
1957,0.056
1958,0.05
1959,0.023
1960,0.038
1961,0.005
1962,0.024
1963,0.053
1964,0.135
1965,0.013
1966,0.081
1967,0.013
1968,0.048
1969,0.204
1970,0.134
1971,0.016
1972,0.064
1973,0.021
1974,0.031
1975,0.036
1976,0.044
1977,0.112
1978,0.154
1979,0.06
1980,0.688
1981,0.259
1982,0.043
1983,0.114
1984,0.051
1985,0.066
1986,0.164
1987,0.061
1988,0.111
1989,0.055
1990,0.075
1991,0.06
1992,0.091
1993,0.123
1994,0.088
1995,0.183
1996,0.149
1997,0.109
1998,0.59
1999,0.244
2000,0.203
2001,0.11
2002,0.122
2003,0.147
2004,0.098
2005,0.171
2006,0.314
2007,0.221
2008,0.14
2009,0.228
2010,0.635
2011,1.059
2012,0.334
2013,0.127
2014,0.199
2015,0.206
2016,0.35
2017,0.123
2018,0.193
2019,0.395
2020,0.349
