Year,National
1950,5.039
1951,6.787
1952,9.561
1953,8.959
1954,12.926
1955,6.729
1956,7.91
1957,5.801
1958,5.976
1959,5.993
1960,7.585
1961,6.038
1962,5.832
1963,5.955
1964,6.483
1965,3.752
1966,6.435
1967,4.773
1968,4.551
1969,6.5
1970,6.726
1971,5.774
1972,4.759
1973,5.85
1974,6.597
1975,4.849
1976,4.612
1977,6.222
1978,7.637
1979,5.395
1980,12.12
1981,6.598
1982,3.797
1983,7.785
1984,5.669
1985,6.442
1986,5.555
1987,5.628
1988,8.595
1989,5.81
1990,6.963
1991,5.277
1992,4.305
1993,4.564
1994,6.672
1995,6.426
1996,6.501
1997,5.284
1998,7.271
1999,5.577
2000,9.194
2001,7.533
2002,7.688
2003,8.712
2004,4.779
2005,6.378
2006,7.789
2007,7.028
2008,5.518
2009,5.955
2010,6.371
2011,8.69
2012,10.465
2013,5.998
2014,5.287
2015,5.872
2016,5.776
2017,5.665
2018,5.808
2019,4.783
2020,6.56
