Year,National
1950,12.415
1951,19.225
1952,26.418
1953,26.021
1954,31.187
1955,21.822
1956,22.364
1957,16.593
1958,16.202
1959,17.066
1960,20.469
1961,15.431
1962,17.749
1963,18.815
1964,19.02
1965,11.946
1966,17.392
1967,12.615
1968,14.2
1969,17.642
1970,18.661
1971,15.647
1972,14.671
1973,14.885
1974,16.587
1975,13.419
1976,14.04
1977,19.492
1978,19.982
1979,13.846
1980,27.389
1981,17.805
1982,12.053
1983,22.172
1984,16.107
1985,16.323
1986,15.647
1987,17.322
1988,23.687
1989,14.663
1990,19.576
1991,15.652
1992,10.586
1993,14.182
1994,15.167
1995,17.935
1996,15.024
1997,14.506
1998,20.712
1999,16.765
2000,22.887
2001,18.648
2002,20.164
2003,19.218
2004,12.366
2005,17.627
2006,20.598
2007,19.027
2008,14.441
2009,14.5
2010,19.029
2011,23.807
2012,25.647
2013,15.338
2014,13.222
2015,16.865
2016,17.115
2017,14.507
2018,16.591
2019,15.093
2020,17.217
