Year,National
1950,124.597
1951,126.945
1952,126.34
1953,117.871
1954,119.589
1955,126.217
1956,127.961
1957,118.676
1958,124.418
1959,126.621
1960,129.525
1961,126.361
1962,123.318
1963,121.918
1964,129.012
1965,124.123
1966,128.346
1967,125.458
1968,127.227
1969,128.883
1970,130.809
1971,126.806
1972,125.535
1973,116.961
1974,121.822
1975,128.334
1976,133.159
1977,119.718
1978,126.787
1979,127.56
1980,124.884
1981,118.334
1982,122.088
1983,120.01
1984,123.657
1985,122.798
1986,113.721
1987,117.387
1988,125.391
1989,124.927
1990,116.433
1991,119.384
1992,116.861
1993,123.784
1994,117.341
1995,118.371
1996,124.238
1997,121.009
1998,105.285
1999,116.813
2000,118.528
2001,113.833
2002,124.65
2003,115.607
2004,112.63
2005,114.387
2006,113.931
2007,117.319
2008,126.578
2009,120.199
2010,119.74
2011,120.264
2012,110.124
2013,130.272
2014,123.338
2015,110.571
2016,108.353
2017,108.906
2018,127.045
2019,125.212
2020,122.174
2021,117.219
