Year,National
1900,0.59
1901,0.747
1902,0.579
1903,0.616
1904,1.243
1905,1.386
1906,0.24
1907,1.18
1908,0.127
1909,1.45
1910,0.552
1911,0.881
1912,2.252
1913,0.645
1914,0.92
1915,0.312
1916,2.456
1917,2.283
1918,1.355
1919,1.442
1920,0.672
1921,0.182
1922,0.96
1923,0.549
1924,1.907
1925,0.291
1926,0.315
1927,1.077
1928,0.296
1929,1.522
1930,1.039
1931,0.005
1932,0.869
1933,1.125
1934,0.354
1935,0.742
1936,3.487
1937,1.488
1938,0.498
1939,0.472
1940,0.465
1941,0.202
1942,0.744
1943,1.032
1944,0.059
1945,0.397
1946,0.322
1947,0.178
1948,0.614
1949,0.978
1950,1.383
1951,1.438
1952,0.372
1953,0.088
1954,0.717
1955,0.475
1956,0.446
1957,0.564
1958,0.26
1959,0.56
1960,0.212
1961,0.293
1962,1.161
1963,1.795
1964,0.384
1965,0.786
1966,1.116
1967,0.387
1968,0.994
1969,0.927
1970,1.236
1971,0.896
1972,1.647
1973,0.547
1974,0.653
1975,0.316
1976,0.606
1977,1.296
1978,0.972
1979,1.411
1980,0.479
1981,0.292
1982,1.468
1983,1.997
1984,0.611
1985,1.439
1986,0.236
1987,0.084
1988,0.788
1989,2.014
1990,1.1
1991,0.237
1992,0.329
1993,0.415
1994,1.719
1995,0.351
1996,2.309
1997,0.88
1998,0.436
1999,0.388
2000,0.486
2001,0.096
2002,0.049
2003,0.277
2004,0.809
2005,0.472
2006,0.133
2007,0.457
2008,0.994
2009,0.721
2010,0.421
2011,0.447
2012,0.136
2013,0.838
2014,1.12
2015,0.379
2016,0.518
2017,0.762
2018,0.605
2019,1.28
2020,0.223
