Year,Northeast,Southeast,Midwest,Northern Great Plains,Northwest,Southwest,Southern Great Plains,Alaska,Hawaii,Puerto Rico
1950,1.313,3.426,1.541,0.317,1.308,0.647,1.996,2.048,6.398,
1951,0.938,3.085,1.214,0.388,0.959,0.583,1.905,2.565,7.378,
1952,1.551,2.809,0.976,0.273,0.306,0.544,1.42,3.188,4.079,
1953,1.256,3.531,0.67,0.373,1.083,0.303,1.749,2.2,1.961,
1954,1.737,2.345,1.232,0.279,0.825,0.574,1.215,2.18,5.989,
1955,1.609,2.903,1.078,0.273,1.11,0.633,1.602,2.24,6.314,
1956,0.668,2.89,0.886,0.253,0.993,0.339,0.828,3.18,6.718,
1957,0.448,3.99,1.362,0.422,0.672,0.473,3.047,2.417,5.721,
1958,1.108,2.958,1.337,0.236,0.802,0.591,2.053,2.66,5.069,
1959,1.211,3.466,1.479,0.225,1.177,0.398,2.509,3.34,4.962,
1960,1.281,2.962,0.988,0.305,0.97,0.512,2.071,2.94,4.399,
1961,0.767,3.889,1.508,0.251,1.009,0.26,2.536,3.24,4.258,
1962,1.106,2.794,0.89,0.468,0.837,0.653,1.447,2.771,2.542,
1963,0.98,2.891,0.863,0.316,0.612,0.543,1.132,3.583,6.2,
1964,0.532,5.021,1.209,0.499,1.272,0.427,1.778,2.022,5.939,
1965,0.446,2.873,1.363,0.421,0.751,0.512,2.235,3.92,7.818,
1966,0.959,3.384,1.025,0.354,0.858,0.528,1.792,3.354,4.584,
1967,1.276,3.301,1.007,0.322,0.769,0.493,2.048,2.41,8.475,
1968,0.955,2.925,1.35,0.486,0.912,0.396,2.275,2.52,7.014,
1969,1.523,3.757,1.403,0.342,0.678,0.884,2.198,2.4,8.509,
1970,1.067,3.04,1.451,0.279,0.782,0.69,1.676,2.413,5.9,
1971,1.394,3.137,0.923,0.455,1.031,0.276,1.997,2.87,4.173,
1972,1.739,3.677,1.196,0.275,1.362,0.345,1.795,2.886,4.729,
1973,1.443,4.647,1.436,0.467,0.702,0.541,3.1,1.783,4.99,
1974,0.923,3.4,1.082,0.262,1.4,0.588,2.546,3.109,4.438,
1975,1.468,3.893,1.266,0.383,1.235,0.414,1.878,2.348,4.285,
1976,1.147,2.929,0.742,0.255,0.515,0.196,1.781,4.06,4.158,
1977,1.462,3.562,1.313,0.405,0.875,0.369,1.841,2.52,3.587,
1978,1.058,3.126,1.342,0.455,0.381,0.761,1.626,2.24,4.917,
1979,1.685,5.255,1.484,0.324,0.834,0.503,2.545,2.58,7.153,
1980,0.977,3.473,0.986,0.225,1.054,0.637,1.651,2.72,7.729,
1981,0.986,2.59,1.412,0.324,1.121,0.598,2.403,3.16,4.388,
1982,0.863,3.892,1.595,0.467,1.31,0.863,1.956,1.76,10.771,
1983,1.689,4.719,1.3,0.339,1.302,0.974,1.738,2.44,2.532,
1984,1.415,3.898,1.259,0.265,0.971,0.221,1.673,2.48,3.4,
