Year,National
1900,2.024
1901,1.82
1902,2.135
1903,1.827
1904,1.47
1905,2.016
1906,1.964
1907,1.674
1908,1.7
1909,1.84
1910,1.301
1911,1.529
1912,1.673
1913,1.704
1914,1.525
1915,2.06
1916,1.527
1917,1.106
1918,1.472
1919,1.972
1920,1.803
1921,1.546
1922,1.614
1923,1.546
1924,1.384
1925,1.301
1926,1.789
1927,1.723
1928,1.709
1929,1.789
1930,1.193
1931,1.34
1932,1.771
1933,1.547
1934,1.369
1935,1.613
1936,1.575
1937,1.657
1938,1.678
1939,1.23
1940,1.523
1941,1.771
1942,1.792
1943,1.446
1944,1.747
1945,1.947
1946,1.862
1947,1.504
1948,1.66
1949,1.649
1950,1.811
1951,1.559
1952,1.322
1953,1.529
1954,1.299
1955,1.563
1956,1.181
1957,1.864
1958,1.52
1959,1.625
1960,1.378
1961,1.857
1962,1.357
1963,1.23
1964,1.97
1965,1.482
1966,1.437
1967,1.528
1968,1.643
1969,1.853
1970,1.54
1971,1.476
1972,1.754
1973,2.164
1974,1.735
1975,1.748
1976,1.219
1977,1.638
1978,1.532
1979,2.193
1980,1.535
1981,1.536
1982,1.942
1983,2.01
1984,1.633
1985,1.846
1986,1.796
1987,1.587
1988,1.326
1989,1.824
1990,1.969
1991,2.004
1992,1.598
1993,1.76
1994,1.765
1995,2.085
1996,1.955
1997,1.8
1998,2.241
1999,1.658
2000,1.584
2001,1.82
2002,1.914
2003,1.742
2004,2.128
2005,1.667
2006,1.77
2007,1.704
2008,2.113
2009,2.13
2010,1.959
2011,1.861
2012,1.47
2013,2.077
2014,1.885
2015,2.434
2016,2.047
2017,2.112
2018,2.407
2019,2.017
2020,2.07
2021,1.937
