Year,National
1950,29.905
1951,32.052
1952,26.647
1953,17.629
1954,19.422
1955,34.027
1956,26.116
1957,23.469
1958,28.618
1959,25.263
1960,35.388
1961,23.814
1962,29.692
1963,32.848
1964,25.84
1965,27.077
1966,30.307
1967,25.658
1968,28.786
1969,31.889
1970,29.598
1971,30.784
1972,31.692
1973,25.157
1974,24.449
1975,30.332
1976,26.284
1977,31.242
1978,42.239
1979,34.795
1980,29.121
1981,21.399
1982,31.554
1983,28.72
1984,26.06
1985,38.343
1986,22.765
1987,20.416
1988,28.24
1989,33.853
1990,19.466
1991,25.578
1992,22.289
1993,32.31
1994,27.742
1995,29.955
1996,34.171
1997,29.036
1998,20.055
1999,18.312
2000,29.882
2001,25.383
2002,23.224
2003,28.291
2004,24.984
2005,27.717
2006,17.852
2007,32.938
2008,31.251
2009,30.849
2010,32.884
2011,28.696
2012,18.165
2013,33.629
2014,36.075
2015,28.67
2016,24.349
2017,25.649
2018,30.715
2019,34.646
2020,23.114
2021,25.146
