 Year,National,#grids
1950,    28.705,       354
1951,    29.826,       359
1952,    24.351,       360
1953,    17.511,       360
1954,    18.264,       360
1955,    31.367,       361
1956,    24.729,       360
1957,    22.601,       363
1958,    27.038,       360
1959,    23.946,       362
1960,    32.868,       361
1961,    22.514,       359
1962,    28.499,       363
1963,    31.992,       365
1964,    24.453,       362
1965,    25.322,       362
1966,    28.332,       364
1967,    24.286,       363
1968,    26.948,       360
1969,    28.550,       364
1970,    27.913,       364
1971,    28.690,       363
1972,    29.933,       360
1973,    23.819,       357
1974,    23.627,       359
1975,    28.116,       362
1976,    25.378,       359
1977,    30.351,       361
1978,    39.067,       360
1979,    33.163,       361
1980,    27.142,       357
1981,    20.204,       360
1982,    29.807,       364
1983,    27.221,       361
1984,    24.812,       361
1985,    36.584,       362
1986,    21.833,       360
1987,    18.645,       361
1988,    27.178,       361
1989,    32.533,       361
1990,    18.546,       358
1991,    24.781,       361
1992,    21.458,       362
1993,    30.232,       362
1994,    25.863,       359
1995,    28.243,       360
1996,    31.747,       362
1997,    27.276,       361
1998,    18.386,       357
1999,    17.260,       356
2000,    27.449,       354
2001,    23.621,       356
2002,    21.206,       358
2003,    26.356,       358
2004,    23.498,       357
2005,    25.742,       348
2006,    16.530,       357
2007,    30.792,       350
2008,    30.201,       344
2009,    28.908,       347
2010,    30.388,       350
2011,    26.559,       346
2012,    17.217,       342
2013,    32.531,       330
2014,    34.509,       326
2015,    26.804,       320
2016,    23.567,       322
2017,    23.912,       318
2018,    27.639,       307
